Gender,What is your current level of study?,Which type of clothing do you prefer the most?,What do you usually  prefer  to wear for college use?,Does your college have a uniform policy?,How often you buy clothes ?,Which shopping method do you prefer?,what do you prefer in this for shopping ?,What price range do you prefer per clothing item?,What is your average spending ? (per year),Are discounts and offers important while purchasing clothes?,How confident are you while selecting clothes without assistance?,What is the main reason for regret ?,"Do you take opinions  before purchasing, if yes whose opinion?",What makes you trust a fashion brand or platform?,Which factor would make you buy a brand more frequently?,"Is there anything you would like to share about your fashion choices, shopping experience, or challenges you face while buying clothes?",average_spending,clean_feedback,cluster,feedback_sentiment
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,29259,yes,very confident,poor fit,friends,reviews,better prices,good,29259.0,good,1,Positive
male,mba,sports wear,mixed,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,13107,yes,very confident,price not worth it,friends,quality assurance,better quality,"i won't frequently shop, i just do it on fests in the whole year, i love to wear baggy clothes, but i don't have much baggy clothes, i prefer not only baggy(street wear) but all types too, the challenges i face is the fitting, sometimes quality",13107.0,wont frequently shop fests whole year love wear baggy clothes dont much baggy clothes prefer baggystreet wear type challenge face fitting sometimes quality,2,Positive
female,b.tech / b.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,29743,yes,very confident,poor fit,friends,reviews,better prices,the size differences is alot from buying online as we can't try them before buying so we have to return it and it costs a lot of time not suitable for emergency situations,29743.0,size difference alot buying online cant try buying return cost lot time suitable emergency situation,1,Positive
female,mbbs / medical,casual wear,jeans & t-shirts,yes,2-3 weeks,online shopping,"more variety, convenience",above ₹2000,15917,yes,very confident,price not worth it,friends,reviews,better prices,,15917.0,,2,Neutral
male,b.tech / b.e,formal wear,jeans & t-shirts,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,18962,no,very confident,different from images,friends,quality assurance,better quality,,18962.0,,0,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",below ₹500,16615,yes,very confident,quality issues,friends,reviews,better prices,,16615.0,,2,Neutral
male,m.tech / m.e,formal wear,formals,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,22427,no,very confident,no regret,friends,quality assurance,better quality,no,22427.0,,0,Negative
female,b.tech / b.e,casual wear,mixed,no,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,20193,yes,very confident,different from images,friends,reviews,better prices,,20193.0,,0,Neutral
male,post-graduate,formal wear,jeans & t-shirts,no,2-3 weeks,offline shopping,"better prices, try before buying",below ₹500,18404,no,very confident,no regret,friends,quality assurance,better quality,,18404.0,,0,Neutral
female,m.tech / m.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,22219,yes,very confident,different from images,friends,reviews,better prices,gud,22219.0,gud,0,Neutral
female,m.tech / m.e,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,14681,yes,very confident,price not worth it,friends,reviews,better prices,,14681.0,,2,Neutral
female,b.tech / b.e,ethnic wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",below ₹500,16049,yes,very confident,price not worth it,friends,reviews,better prices,,16049.0,,2,Neutral
male,b.tech / b.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,28575,sometimes,very confident,different from images,friends,quality assurance,better quality,,28575.0,,1,Neutral
female,mba,casual wear,mixed,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,17055,yes,very confident,different from images,friends,reviews,better prices,,17055.0,,2,Neutral
female,b.tech / b.e,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",₹1001 – ₹2000,17765,yes,very confident,different from images,friends,reviews,better prices,no,17765.0,,2,Negative
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,24276,yes,very confident,quality issues,friends,reviews,better prices,,24276.0,,0,Neutral
male,b.tech / b.e,formal wear,mixed,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,12940,yes,very confident,quality issues,friends,quality assurance,better quality,no,12940.0,,2,Negative
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,20277,yes,very confident,no regret,friends,reviews,better prices,nope,20277.0,nope,0,Neutral
male,mba,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",₹500 – ₹1000,14002,sometimes,very confident,different from images,friends,quality assurance,better quality,,14002.0,,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,25803,yes,very confident,different from images,friends,reviews,better prices,,25803.0,,1,Neutral
male,mbbs / medical,sports wear,casual wear,yes,on festival,both,"better prices, try before buying",above ₹2000,11946,yes,very confident,different from images,friends,quality assurance,better quality,no,11946.0,,2,Negative
male,b.tech / b.e,formal wear,mixed,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,26171,yes,very confident,quality issues,friends,quality assurance,better quality,,26171.0,,1,Neutral
female,mbbs / medical,casual wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,16956,yes,very confident,price not worth it,friends,reviews,better prices,nothing much,16956.0,nothing much,2,Neutral
female,b.tech / b.e,casual wear,casual wear,no,1-2 months,both,"better prices, try before buying",above ₹2000,24067,yes,very confident,price not worth it,friends,reviews,better prices,while buying clothes everyone should see the quality and price the most important thing.,24067.0,buying clothes everyone see quality price important thing,0,Positive
female,b.tech / b.e,casual wear,casual wear,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,14881,yes,very confident,different from images,friends,reviews,better prices,i’d like the the fashion to become modest yet classy. and while offline shopping the customer is not rushed.,14881.0,like fashion become modest yet classy offline shopping customer rushed,2,Positive
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,26625,yes,very confident,no regret,friends,reviews,better prices,,26625.0,,1,Neutral
female,m.tech / m.e,casual wear,jeans & t-shirts,no,1-2 months,online shopping,"more variety, convenience",above ₹2000,29033,yes,very confident,price not worth it,friends,reviews,better prices,,29033.0,,1,Neutral
female,b.tech / b.e,ethnic wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,23383,yes,very confident,poor fit,friends,reviews,better prices,good,23383.0,good,0,Positive
male,b.tech / b.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,19625,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,19625.0,,0,Neutral
male,diploma,casual wear,mixed,yes,on festival,both,"better prices, try before buying",below ₹500,14131,sometimes,very confident,no regret,friends,quality assurance,better quality,no,14131.0,,2,Negative
female,m.tech / m.e,ethnic wear,casual wear,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,21864,yes,very confident,poor fit,friends,reviews,better prices,,21864.0,,0,Neutral
female,m.tech / m.e,casual wear,formals,no,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,27999,yes,very confident,poor fit,friends,reviews,better prices,nil,27999.0,nil,1,Neutral
male,diploma,sports wear,casual wear,yes,on festival,offline shopping,"better prices, try before buying",₹500 – ₹1000,14632,yes,very confident,poor fit,friends,quality assurance,better quality,no,14632.0,,2,Negative
male,m.tech / m.e,formal wear,casual wear,no,1-2 months,both,"better prices, try before buying",below ₹500,18044,no,very confident,no regret,friends,quality assurance,better quality,nothing much!,18044.0,nothing much,2,Neutral
female,b.tech / b.e,casual wear,formals,yes,1-2 months,both,"better prices, try before buying",below ₹500,14219,yes,very confident,quality issues,friends,reviews,better prices,,14219.0,,2,Neutral
female,diploma,casual wear,mixed,yes,on festival,both,"better prices, try before buying",below ₹500,17721,yes,very confident,different from images,friends,reviews,better prices,,17721.0,,2,Neutral
female,diploma,ethnic wear,casual wear,yes,on festival,both,"better prices, try before buying",above ₹2000,15765,yes,very confident,no regret,friends,reviews,better prices,no,15765.0,,2,Negative
female,b.tech / b.e,casual wear,jeans & t-shirts,yes,1-2 months,both,"better prices, try before buying",₹1001 – ₹2000,14518,yes,very confident,poor fit,friends,reviews,better prices,,14518.0,,2,Neutral
female,diploma,casual wear,mixed,yes,on festival,online shopping,"more variety, convenience",below ₹500,18556,yes,very confident,price not worth it,friends,reviews,better prices,,18556.0,,0,Neutral
female,diploma,ethnic wear,casual wear,yes,on festival,online shopping,"more variety, convenience",₹500 – ₹1000,15884,yes,very confident,different from images,friends,reviews,better prices,"sometimes it's cost,quality,poor fitting that gives me regret",15884.0,sometimes costqualitypoor fitting give regret,2,Negative
male,m.tech / m.e,sports wear,casual wear,no,1-2 months,offline shopping,"better prices, try before buying",above ₹2000,22515,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,22515.0,,0,Neutral
male,diploma,casual wear,jeans & t-shirts,yes,on festival,both,"better prices, try before buying",₹1001 – ₹2000,12420,yes,very confident,price not worth it,friends,quality assurance,better quality,,12420.0,,2,Neutral
male,m.tech / m.e,casual wear,casual wear,yes,1-2 months,offline shopping,"better prices, try before buying",₹1001 – ₹2000,14763,sometimes,very confident,price not worth it,friends,quality assurance,better quality,nothing,14763.0,nothing,2,Neutral
female,mba,casual wear,formals,yes,1-2 months,online shopping,"more variety, convenience",₹500 – ₹1000,15808,yes,very confident,quality issues,friends,reviews,better prices,,15808.0,,2,Neutral
male,post-graduate,casual wear,formals,no,2-3 weeks,both,"better prices, try before buying",₹500 – ₹1000,28616,sometimes,very confident,price not worth it,friends,quality assurance,better quality,,28616.0,,1,Neutral
